index,temperature,rainfall,humidity
131,50.09,198.7,37.93
132,26.65,46.47,14.49
133,14.38,124.79,84.87
134,40.51,92.06,37.93
135,113.15,7.89,15.68
136,38.78,2.89,16.73
137,62.25,23.85,32.66
138,84.36,129.82,26.02
139,43.64,113.43,79.69
140,116.61,110.69,38.95
141,115.49,6.37,82.42
142,30.21,93.86,25.65
143,59.67,184.92,54.36
144,36.11,79.52,71.92
145,34.18,124.98,68.68
146,4.43,155.96,64.1
147,73.15,156.79,93.23
148,60.32,103.86,30.57
149,6.18,171.59,54.43
150,33.44,78.28,89.56
151,108.99,177.74,17.01
152,28.75,48.05,15.03
153,17.39,56.04,31.0
154,58.73,10.62,66.97
155,118.28,159.12,33.39
156,29.05,83.41,27.12
157,80.66,45.82,51.29
158,91.39,46.36,65.22
159,28.52,180.28,32.37
160,87.39,166.78,37.06
161,44.13,110.71,65.22
162,75.88,123.22,95.12
163,76.02,94.87,70.73
164,64.29,78.33,80.46
165,10.83,183.1,43.01
166,100.24,25.12,34.5
167,38.49,83.69,50.88
168,22.38,68.91,82.64
169,4.89,99.63,51.07
170,70.91,91.53,86.21
171,81.31,103.78,98.99
172,1.99,27.98,16.48
173,61.45,102.63,14.09
174,27.18,48.48,23.46
175,77.42,36.87,44.59
176,20.92,12.97,21.79
177,82.91,152.53,88.36
178,46.41,85.49,12.08
179,112.41,125.33,38.42
180,16.5,145.52,26.62
181,40.93,135.86,93.84
182,13.62,94.1,70.25
183,110.96,77.58,92.08
184,105.28,75.19,97.51
185,30.95,128.01,54.74
186,79.2,98.96,31.09
187,98.07,169.83,27.44
188,66.62,174.94,30.06
189,63.56,34.11,73.77
190,29.02,27.25,13.64
191,11.17,126.08,14.62
192,107.67,60.25,64.73
193,108.05,3.71,67.79
194,75.97,177.73,69.87
195,40.68,45.38,43.47
196,41.91,185.86,82.54
197,87.11,143.49,58.03
198,107.65,152.53,19.49
199,106.45,40.29,81.74
200,93.59,46.84,95.78
201,77.04,104.25,15.4
202,10.1,34.42,45.22
203,19.4,61.09,53.88
204,107.83,64.29,23.18
205,72.77,31.93,88.09
206,1.1,41.04,35.57
207,12.18,157.71,80.47
208,79.62,33.44,70.39
209,0.61,5.69,63.82
210,19.3,125.87,27.29
211,65.85,195.2,29.86
212,83.03,66.24,14.26
213,78.24,23.73,31.66
214,26.91,114.08,41.09
215,85.46,181.27,84.98
216,28.47,156.81,42.98
217,39.05,124.5,77.92
218,89.58,63.01,49.55
219,77.96,108.38,80.64
220,101.91,18.25,97.86
221,78.91,135.79,31.59
222,68.2,145.02,87.61
223,11.24,193.01,65.96
224,44.13,52.08,83.56
225,31.82,3.69,68.64
226,29.28,109.12,48.16
227,116.76,141.36,30.53
228,47.17,158.08,16.3
229,107.05,38.75,58.2
230,75.74,52.35,99.13
231,95.38,102.52,76.42
232,60.32,66.12,39.46
233,69.23,172.1,84.45
234,59.1,94.75,79.21
235,23.43,159.92,35.35
236,86.69,116.12,11.29
237,33.69,154.62,20.63
238,2.92,66.53,88.96
239,77.46,166.28,85.29
240,21.25,54.91,36.57
241,112.86,109.22,35.67
242,114.47,42.8,81.36
243,109.78,95.11,94.4
244,44.42,63.64,80.12
245,1.85,53.34,64.5
246,111.4,193.4,31.84
247,51.38,32.01,57.32
248,116.0,157.47,31.02
249,115.63,196.83,82.72
250,102.36,3.98,44.83
251,35.33,139.81,85.03
252,46.21,50.58,44.34
253,102.14,8.1,84.17
254,38.03,80.58,40.0
255,20.34,187.04,49.61
256,66.82,2.35,65.39
257,112.34,117.58,16.33
258,83.52,100.28,95.34
259,68.41,174.68,61.62
260,11.66,16.8,55.7
261,73.8,136.31,85.55
262,118.81,136.02,87.92
263,16.81,133.82,57.0
264,62.2,188.47,93.45
265,105.28,164.62,15.83
266,88.89,8.39,20.19
267,83.64,94.22,63.71
268,84.3,79.59,41.87
269,43.14,62.03,51.78
270,35.23,90.27,39.53
271,97.12,76.84,46.43
272,97.21,86.47,84.04
273,104.05,195.85,63.41
274,109.59,17.73,99.76
275,61.36,184.45,80.82
276,60.18,96.05,34.63
277,95.8,124.75,33.79
278,78.0,166.04,40.23
279,84.24,72.09,85.89
280,95.5,86.08,12.46
281,106.8,81.9,30.72
282,40.56,74.95,91.44
283,45.07,185.11,67.59
284,11.28,165.79,30.42
285,69.39,21.8,29.72
286,4.31,21.62,87.64
287,55.87,85.57,90.44
288,65.12,19.73,33.05
289,34.38,123.82,47.85
290,70.9,28.74,85.11
291,3.66,104.47,79.39
292,4.48,1.44,83.25
293,98.71,63.32,56.66
294,43.22,135.44,92.04
295,15.25,96.81,39.34
296,62.67,195.65,24.1
297,92.4,174.82,73.79
298,25.9,71.81,58.54
299,74.75,9.1,86.91
300,10.24,169.13,17.3
301,6.2,182.25,85.93
302,63.76,164.13,36.4
303,64.88,25.59,68.94
304,76.49,199.58,13.61
305,87.13,51.72,64.86
306,117.1,144.84,74.55
307,61.96,181.61,43.19
308,38.75,47.14,29.39
309,95.42,181.65,58.39
310,32.5,61.9,84.99
311,52.68,195.28,39.12
312,9.41,56.25,32.72
313,3.04,190.69,35.1
314,115.52,10.71,95.42
315,100.32,141.85,42.33
316,83.52,106.42,10.32
317,49.07,95.58,80.35
318,20.8,44.7,72.93
319,18.77,141.12,21.57
320,30.03,38.16,98.64
321,65.91,110.57,64.73
322,85.75,50.65,55.07
323,79.22,191.12,44.4
324,33.59,5.73,90.88
325,114.58,39.95,31.96
326,88.55,48.46,35.72
327,66.52,82.81,21.02
328,73.41,46.55,78.32
329,50.35,98.27,63.6
330,29.73,174.49,64.82
331,42.72,142.41,29.66
332,90.94,115.99,68.61
333,1.73,17.8,78.89
334,13.93,138.8,42.21
335,5.52,33.28,82.12
336,4.89,157.27,41.39
337,102.66,50.01,78.23
338,84.44,83.41,13.04
339,56.9,70.09,59.6
340,11.74,171.76,97.26
341,58.99,25.31,98.31
342,56.82,113.13,35.36
343,20.78,28.41,49.73
344,52.06,140.96,15.67
345,47.82,181.02,88.6
346,73.9,86.92,61.17
347,76.21,97.62,44.66
348,5.44,185.48,20.15
349,44.95,104.2,95.21
350,75.1,97.52,57.72
351,60.38,115.67,35.46
352,102.78,137.85,41.52
353,79.04,21.38,34.36
354,19.55,164.22,64.16
355,8.47,87.1,93.7
356,77.09,14.47,87.1
357,3.18,157.24,51.43
358,70.29,75.39,84.38
359,112.83,20.07,48.08
360,69.06,126.76,32.71
361,46.58,176.03,98.51
362,77.19,177.55,37.35
363,54.99,191.53,39.14
364,65.47,173.54,99.07
365,112.98,0.43,22.05
366,46.33,76.05,78.45
367,115.34,163.71,94.22
368,108.64,73.25,56.06
369,23.49,120.31,10.23
370,8.32,121.26,43.76
371,12.09,73.01,20.04
372,2.19,180.89,47.46
373,11.33,100.65,81.1
374,81.96,92.96,49.48
375,8.54,199.5,48.87
376,38.28,98.7,60.11
377,101.39,35.68,62.35
378,2.79,102.61,87.07
379,97.74,162.8,37.75
380,33.82,155.37,83.95
381,14.18,157.72,60.93
382,83.61,141.6,37.05
383,75.47,50.84,36.56
384,105.3,172.42,42.5
385,88.21,178.69,66.04
386,96.42,38.83,30.77
387,33.84,26.09,92.83
388,21.29,195.12,61.74
389,90.07,173.66,92.8
390,96.82,178.65,14.18
391,118.86,177.28,40.84
392,49.51,108.34,12.05
393,44.64,129.28,34.5
394,93.17,109.07,87.58
395,40.9,10.24,13.29
396,111.69,149.1,49.25
397,103.01,101.07,20.58
398,51.48,129.54,47.52
399,90.1,100.53,85.5
400,90.55,98.36,66.08
401,12.37,34.36,76.31
402,108.31,55.74,41.42
403,60.63,31.77,95.0
404,99.17,39.13,73.83
405,38.41,194.6,47.96
406,107.46,30.62,48.38
407,46.7,53.85,92.68
408,1.3,118.12,61.88
409,108.65,122.04,73.57
410,10.95,30.79,47.53
411,38.32,158.74,30.13
412,114.01,157.04,75.12
413,114.07,47.46,64.7
414,68.81,57.73,55.12
415,75.82,187.6,66.16
416,53.81,165.13,28.75
417,35.19,139.56,81.45
418,39.44,16.45,95.33
419,80.7,83.65,90.2
420,90.28,111.86,38.93
421,94.99,37.48,46.54
422,94.75,89.65,82.76
423,10.94,120.21,63.56
424,59.33,65.48,59.31
425,6.91,156.19,93.4
426,65.94,168.09,58.24
427,52.98,64.72,56.34
428,106.52,167.73,13.78
429,42.11,20.72,16.25
430,14.05,167.55,10.67
431,17.16,30.55,92.19
432,91.38,16.59,46.75
433,74.19,128.36,52.17
434,12.13,94.39,86.08
435,10.09,181.58,64.83
436,84.12,72.64,64.86
437,8.73,57.43,36.69
438,98.62,100.15,85.05
439,84.75,91.19,24.92
440,9.76,68.89,14.78
441,10.18,138.75,27.24
442,118.4,151.91,34.1
443,44.91,170.6,35.41
444,44.48,194.57,70.35
445,97.54,53.33,29.6
446,113.67,143.22,70.9
447,118.32,78.85,18.2
448,90.41,135.42,23.25
449,45.15,95.2,55.79
450,10.02,198.75,92.97
451,93.26,145.78,87.36
452,67.01,190.5,97.19
453,50.91,166.99,68.54
454,108.76,180.58,70.82
455,13.34,162.88,66.25
456,59.12,91.83,66.05
457,1.36,50.36,23.24
458,56.24,74.06,58.94
459,6.76,4.05,44.75
460,14.26,104.8,49.83
461,14.1,101.01,57.12
462,77.91,105.05,21.56
463,89.53,194.81,42.35
464,70.0,182.29,15.71
465,115.46,32.34,98.17
466,44.98,73.78,20.67
467,34.29,84.79,33.27
468,104.23,72.11,90.22
469,26.83,159.7,53.44
470,115.59,104.81,22.21
471,1.46,114.42,44.58
472,116.39,170.6,20.43
473,5.18,161.19,28.02
474,106.94,26.44,14.68
475,63.32,142.78,49.44
476,119.16,87.09,82.6
477,8.86,58.93,62.74
478,66.46,10.0,64.57
479,116.32,97.45,28.05
480,62.77,71.09,40.95
481,75.53,50.3,86.07
482,83.49,138.93,17.91
483,54.54,153.9,87.21
484,75.31,48.96,53.53
485,70.12,9.89,85.34
486,108.14,169.75,38.62
487,5.45,1.99,40.5
488,33.72,187.42,77.64
489,114.05,125.52,80.65
490,106.83,64.37,30.67
491,54.68,49.3,97.56
492,74.42,1.8,17.6
493,33.29,47.09,16.17
494,22.57,27.55,63.6
495,55.64,122.43,75.05
496,42.4,33.31,96.48
497,70.04,105.73,46.45
498,9.33,118.02,12.28
499,116.93,59.61,64.26
500,118.35,7.01,36.07
501,83.78,7.45,48.97
502,64.33,5.27,53.96
503,37.14,147.82,15.81
504,97.66,63.6,53.74
505,82.17,159.26,48.37
506,19.51,86.35,74.13
507,109.31,90.6,68.11
508,98.7,102.58,26.67
509,113.98,142.61,28.55
510,87.09,54.7,32.59
511,73.61,24.32,26.11
512,50.19,111.21,69.15
513,111.93,65.4,99.5
514,103.93,88.5,68.69
515,5.43,129.39,64.6
516,3.16,98.83,46.89
517,45.18,124.06,38.13
518,97.27,108.84,92.0
519,118.47,147.96,97.21
520,18.05,141.19,54.71
521,71.3,106.84,36.12
522,45.71,135.78,79.31
523,116.39,174.71,21.92
524,101.05,86.45,78.9
525,100.6,82.55,83.71
526,56.24,152.85,21.24
527,49.78,116.51,97.92
528,32.81,14.2,98.7
529,6.77,178.42,94.3
530,103.77,6.16,54.64
531,97.55,149.68,32.15
532,119.97,151.76,62.38
533,119.6,190.62,47.79
534,66.65,10.83,28.54
535,92.28,119.37,48.13
536,113.37,85.57,69.75
537,101.96,66.13,16.38
538,29.68,18.06,40.01
539,54.07,112.53,11.6
540,15.5,95.81,77.45
541,114.49,20.91,67.66
542,72.74,122.5,15.64
543,27.44,147.59,96.83
544,80.6,153.46,12.04
545,74.18,181.07,63.1
546,42.98,81.89,79.87
547,13.63,190.61,80.91
548,80.59,173.09,13.09
549,62.44,59.3,91.58
550,92.68,31.86,92.66
551,62.42,87.08,60.53
552,102.26,80.38,53.39
553,66.23,115.14,14.04
554,67.31,116.68,60.58
555,105.2,150.0,46.84
556,48.42,101.98,79.55
557,16.08,20.96,46.35
558,3.45,171.66,71.52
559,90.62,61.95,19.13
560,74.44,194.26,21.97
561,84.49,23.57,22.57
562,25.56,191.65,14.1
563,16.36,18.2,58.72
564,1.75,46.21,81.46
565,42.07,9.32,64.94
566,70.79,141.02,61.75
567,47.07,170.06,71.26
568,52.5,86.81,40.57
569,108.5,185.7,42.58
570,41.79,118.06,38.28
571,61.68,126.0,74.09
572,94.04,169.08,24.55
573,47.59,59.36,11.17
574,74.65,70.85,63.66
575,103.48,181.19,94.81
576,113.94,180.19,64.85
577,17.65,195.3,80.46
578,111.19,180.37,70.55
579,59.05,25.47,54.77
580,30.99,164.74,74.66
581,55.1,81.97,84.17
582,117.6,198.16,30.23
583,59.11,94.46,40.25
584,39.45,110.77,30.14
585,76.01,105.95,50.7
586,28.82,64.35,89.66
587,9.1,15.0,41.07
588,15.47,179.13,43.7
589,15.37,160.54,87.43
590,18.23,27.91,56.38
591,16.66,155.35,58.19
592,76.9,125.17,87.47
593,21.83,81.83,54.15
594,41.48,50.8,71.34
595,107.61,171.95,17.71
596,56.88,140.04,26.08
597,80.11,109.55,46.39
598,20.68,121.91,54.54
599,23.07,18.21,96.92
600,4.9,94.78,97.36
601,20.27,38.74,86.61
602,33.43,41.68,38.4
603,21.24,132.26,96.76
604,10.64,182.25,72.04
605,14.48,80.75,45.36
606,55.29,41.55,73.15
607,24.76,129.75,11.49
608,43.71,174.24,23.15
609,60.41,149.66,84.67
610,82.85,173.75,68.1
611,4.72,107.31,42.78
612,95.93,150.38,55.06
613,75.35,28.01,91.46
614,9.81,69.65,66.84
615,104.83,77.91,45.83
616,110.5,102.26,20.83
617,7.33,185.82,36.44
618,33.23,174.86,98.05
619,96.74,26.91,49.36
620,89.79,34.56,52.47
621,22.14,71.53,54.87
622,25.12,58.15,89.57
623,44.46,122.95,64.35
624,58.14,180.56,72.43
625,74.19,192.46,45.05
626,44.27,130.72,12.62
627,55.5,167.63,93.79
628,89.7,105.04,95.42
629,4.4,41.67,95.42
630,30.29,104.94,94.93
631,85.6,111.02,83.37
632,107.42,148.49,71.61
633,61.4,43.98,86.01
634,63.85,73.66,64.05
635,12.86,72.81,22.09
636,53.69,191.89,45.21
637,63.91,88.79,97.42
638,29.1,151.02,41.6
639,32.31,150.16,88.1
640,45.27,53.11,18.39
641,2.41,114.37,40.08
642,38.65,178.86,41.59
643,25.37,95.04,14.64
644,39.3,189.02,20.72
645,14.37,42.89,27.38
646,106.86,14.83,85.4
647,71.23,178.29,15.71
648,81.49,169.54,36.88
649,94.7,198.52,10.92
650,59.81,135.88,72.61
651,10.43,187.34,65.83
652,64.45,165.39,68.05
653,70.42,168.89,43.69
654,89.45,113.83,28.74
655,51.8,76.47,74.83
656,15.31,186.91,83.0
657,34.05,86.42,22.47
658,43.57,107.76,53.81
659,77.51,89.22,32.38
660,68.49,112.96,25.13
661,42.73,94.1,76.09
662,118.38,9.59,58.43
663,72.69,176.41,29.46
664,28.47,88.88,37.9
665,12.21,117.79,97.0
666,18.34,27.84,86.38
667,29.51,0.68,89.2
668,19.28,49.06,51.4
669,22.39,140.92,66.14
670,34.21,19.84,43.91
671,20.8,181.78,16.99
672,107.61,43.0,46.1
673,9.63,40.92,63.46
674,62.94,36.3,35.84
675,49.25,2.8,86.32
676,117.89,154.36,23.6
677,13.44,175.01,43.04
678,47.74,122.83,21.24
679,116.34,37.64,46.43
680,103.86,57.06,13.57
681,98.05,95.19,34.53
682,30.95,190.87,46.07
683,20.51,49.47,53.03
684,80.24,146.33,58.93
685,111.53,87.89,34.75
686,66.81,59.57,57.07
687,68.59,91.18,55.81
688,33.6,14.24,38.46
689,92.34,159.74,84.72
690,22.45,48.66,59.11
691,38.84,145.08,39.9
692,51.05,13.67,95.26
693,60.91,191.02,86.06
694,29.09,38.6,98.43
695,13.78,176.55,72.3
696,73.27,161.89,44.04
697,34.64,193.57,35.28
698,69.75,95.58,69.7
699,18.52,145.48,98.27
700,57.74,74.14,66.4
701,63.91,36.87,89.35
702,6.22,88.62,39.62
703,40.39,33.15,46.63
704,16.13,196.41,91.56
705,7.6,19.25,78.12
706,118.8,117.84,98.33
707,38.68,125.29,79.73
708,97.18,107.62,50.37
709,30.56,132.44,57.8
710,81.78,23.24,91.05
711,91.23,111.0,59.65
712,71.48,57.44,32.99
713,56.59,188.04,49.21
714,49.42,152.41,56.47
715,41.86,194.5,18.7
716,111.54,7.51,76.94
717,99.67,57.03,19.84
718,115.8,39.08,46.44
719,14.92,2.23,82.42
720,87.7,48.47,52.08
721,112.6,135.76,85.78
722,21.75,46.22,40.77
723,7.98,101.8,96.19
724,88.93,177.56,28.85
725,68.94,138.75,13.44
726,101.02,78.93,88.52
727,16.77,74.49,77.7
728,95.43,91.15,30.88
729,24.2,35.41,98.63
730,19.64,126.8,55.21
731,19.71,72.83,95.6
732,97.75,170.47,55.45
733,79.82,151.31,52.47
734,62.77,122.1,50.42
735,43.06,72.84,40.14
736,105.26,41.99,58.03
737,47.09,155.23,50.73
738,97.99,97.28,13.31
739,52.7,44.95,33.44
740,45.23,39.03,29.18
741,55.52,33.08,88.07
742,36.17,155.43,63.9
743,89.71,45.8,78.73
744,60.33,105.33,96.11
745,27.87,90.31,67.96
746,107.95,115.92,98.43
747,46.07,175.43,38.06
748,65.23,173.55,26.76
749,108.78,90.22,46.3
750,74.91,3.07,52.37
751,14.03,85.29,90.58
752,112.78,121.24,60.39
753,75.32,111.55,36.3
754,40.19,130.27,76.84
755,16.71,30.82,55.52
756,95.28,129.31,24.59
757,74.41,36.53,61.91
758,64.02,150.1,92.03
759,107.27,67.82,85.84
760,94.63,141.98,62.81
761,18.2,9.57,43.94
762,37.41,81.57,17.83
763,29.82,141.01,52.27
764,89.27,45.37,77.69
765,4.02,159.06,42.42
766,68.39,126.16,31.19
767,91.5,117.51,93.82
768,105.21,70.71,83.94
769,41.05,96.49,67.44
770,98.55,119.47,22.31
771,13.28,94.49,23.04
772,101.57,139.66,19.29
773,15.3,86.74,65.47
774,47.67,40.45,20.4
775,95.68,42.79,85.84
776,17.99,1.16,99.37
777,27.51,60.19,42.97
778,86.67,149.78,50.83
779,86.4,158.83,74.05
780,76.94,40.49,94.34
781,83.27,191.81,90.47
782,65.13,100.48,15.18
783,30.22,183.4,25.22
784,41.48,141.35,77.91
785,21.79,144.49,72.0
786,109.01,17.01,21.99
787,70.01,44.0,55.19
788,48.1,1.76,80.27
789,55.44,143.23,29.69
790,113.67,68.89,88.42
791,18.4,157.33,14.77
792,70.35,67.79,80.4
793,60.71,163.87,65.42
794,73.37,26.14,38.37
795,2.17,34.67,74.88
796,104.65,68.18,80.41
797,111.85,81.7,94.05
798,67.82,69.74,43.1
799,83.6,152.73,71.74
800,110.7,19.39,64.24
801,84.87,70.24,57.27
802,18.3,167.45,90.14
803,69.15,13.36,10.29
804,72.81,188.47,35.39
805,50.9,197.26,58.44
806,88.37,17.71,26.05
807,112.12,58.25,91.71
808,111.07,74.48,68.28
809,54.1,155.28,53.01
810,13.59,119.19,83.32
811,118.18,128.87,50.58
812,100.67,151.5,60.28
813,14.96,23.6,10.25
814,110.5,166.64,42.91
815,104.39,141.12,22.49
816,62.26,115.47,72.07
817,70.95,177.95,53.11
818,47.88,140.06,37.16
819,6.57,40.34,52.1
820,40.22,85.95,28.87
821,96.34,98.81,93.26
822,0.56,11.04,14.86
823,40.02,190.93,87.89
824,47.78,25.72,56.02
825,64.49,139.49,65.71
826,110.38,101.25,37.23
827,41.56,5.13,97.0
828,41.63,184.95,35.37
829,88.5,170.37,63.0
830,54.27,104.85,99.41
831,26.95,45.79,89.3
832,54.29,24.32,58.27
833,16.9,72.68,99.13
834,21.17,51.09,73.12
835,59.8,101.34,28.78
836,50.27,193.28,46.5
837,109.78,114.99,40.1
838,43.49,177.99,40.96
839,69.67,130.18,78.44
840,75.87,95.05,62.58
841,1.57,170.92,13.43
842,79.62,94.27,88.97
843,21.36,173.73,36.71
844,115.33,58.32,99.74
845,17.84,25.76,95.88
846,49.75,171.06,94.65
847,10.24,117.48,83.0
848,119.62,177.82,29.86
849,60.26,187.57,57.94
850,71.45,10.73,30.19
851,8.05,100.19,33.37
852,90.0,74.99,64.99
853,25.19,125.17,13.68
854,107.77,158.72,97.25
855,24.62,56.12,92.68
856,22.88,111.36,44.27
857,4.39,141.75,56.39
858,56.65,26.89,51.95
859,67.78,162.81,89.4
860,7.89,121.22,71.97
861,93.06,189.91,35.03
862,54.39,67.91,50.22
863,62.93,21.63,48.61
864,52.89,101.3,96.34
865,48.09,17.16,25.78
866,67.16,193.91,18.06
867,18.63,7.74,89.26
868,21.83,150.7,90.7
869,103.41,105.02,88.46
870,113.53,73.72,55.99
871,44.8,13.17,69.38
872,32.49,124.43,60.7
873,77.28,117.04,16.25
874,49.05,56.18,63.63
875,3.05,182.04,11.23
876,18.74,60.82,39.25
877,85.92,89.95,93.91
878,79.07,108.75,37.36
879,3.25,20.05,94.58
880,26.64,186.43,32.51
881,27.73,74.91,38.31
882,80.63,16.16,66.56
883,2.37,77.46,78.55
884,12.49,120.04,55.12
885,95.99,102.73,89.39
886,21.43,138.91,13.62
887,78.33,11.1,93.0
888,28.58,56.91,27.67
889,11.93,163.85,89.58
890,29.18,15.98,46.08
891,86.67,171.1,84.95
892,102.68,18.38,70.45
893,99.63,166.89,25.83
894,47.66,72.16,92.62
895,80.17,122.44,32.1
896,24.6,30.58,31.97
897,35.18,13.23,83.28
898,107.56,43.19,19.53
899,1.56,25.57,29.98
900,10.26,62.48,55.33
901,24.95,102.88,84.74
902,3.18,117.75,23.27
903,21.77,157.97,59.29
904,69.96,131.25,74.01
905,50.57,121.75,87.45
906,107.12,82.36,94.2
907,98.09,94.76,80.62
908,41.02,82.9,68.75
909,31.13,168.43,49.03
910,45.56,46.0,20.09
911,70.84,1.14,73.88
912,32.17,130.26,99.35
913,74.9,40.49,76.31
914,49.13,178.02,11.5
915,66.25,171.81,54.66
916,52.34,15.35,65.32
917,35.34,21.28,72.07
918,113.81,99.03,74.78
919,91.63,121.84,60.23
920,16.81,54.98,30.1
921,104.22,143.36,94.8
922,58.49,118.98,72.7
923,107.35,64.96,31.32
924,95.98,5.07,39.01
925,51.03,150.03,92.97
926,2.7,42.95,89.87
927,32.24,166.89,46.46
928,65.0,84.06,13.45
929,76.02,115.42,14.36
930,30.95,174.59,35.55
931,16.72,172.72,66.62
932,100.19,74.3,62.58
933,118.13,41.78,67.04
934,63.08,155.03,74.56
935,20.6,86.62,11.71
936,32.68,38.41,19.46
937,2.21,180.89,42.35
938,109.72,39.62,23.94
939,14.13,5.16,16.78
940,69.18,4.06,67.69
941,32.89,124.46,83.38
942,66.5,132.34,77.74
943,78.17,62.21,83.53
944,99.57,64.0,69.93
945,24.77,67.9,76.18
946,1.32,136.03,34.46
947,16.43,11.63,99.37
948,108.0,185.82,26.48
949,104.87,44.5,29.3
950,71.69,199.93,36.0
951,72.06,34.3,97.78
952,79.8,154.31,98.95
953,21.04,44.68,81.54
954,109.73,16.17,66.62
955,50.25,174.99,56.81
956,45.98,171.75,97.36
957,62.27,80.71,72.61
958,5.64,140.48,95.03
959,19.95,111.41,38.49
960,88.56,170.59,40.04
961,9.94,63.01,86.93
962,72.38,104.73,23.49
963,29.44,97.07,95.13
964,46.72,70.78,55.67
965,34.64,178.29,93.38
966,42.68,33.18,40.31
967,86.29,29.9,74.44
968,35.65,115.38,53.46
969,67.97,131.5,66.41
970,57.13,38.92,55.39
971,79.64,78.14,97.04
972,112.42,189.31,72.29
973,87.91,49.32,32.62
974,25.79,133.67,91.87
975,3.74,148.03,36.46
976,31.47,89.63,43.44
977,71.41,187.51,19.19
978,6.17,147.33,91.0
979,59.56,91.58,35.75
980,71.62,113.87,33.3
981,40.11,138.52,92.82
982,92.51,118.44,82.5
983,12.79,175.74,22.7
984,9.02,71.38,79.24
985,87.38,59.98,92.17
986,59.46,42.77,17.07
987,82.61,7.56,84.27
988,52.18,8.6,59.27
989,29.57,174.01,70.23
990,98.29,135.68,54.36
991,95.93,132.11,72.8
992,83.36,122.93,13.07
993,32.66,169.84,78.64
994,70.83,96.05,13.0
995,43.32,174.08,50.98
996,10.99,71.89,23.59
997,110.08,185.34,84.12
